t_s,cmd_speed_cm_s,cmd_steer_deg,enc_speed_cm_s,enc_cmd_speed_cm_s,yaw_deg
0.0000,1.9073486328125e-05,0.0,0.032,19.688,354.8
0.0777,0.5182600021362305,0.0,0.032,19.688,354.8
0.0828,0.5522235234578451,0.0,0.032,19.688,354.8
0.0879,0.586090087890625,0.0,0.032,19.688,354.8
0.0930,0.6199026107788086,0.0,0.032,19.688,354.8
0.1000,0.6667804718017578,0.0,0.032,19.688,354.8
0.1070,0.7135581970214844,0.0,0.032,19.688,354.8
0.1121,0.7474962870279949,0.0,0.032,19.688,354.8
0.1209,0.8060916264851887,0.0,0.032,19.688,354.8
0.1260,0.8400821685791016,0.0,0.032,19.688,354.8
0.1311,0.8740297953287761,0.0,0.032,19.688,354.8
0.1362,0.908055305480957,0.0,0.032,19.688,354.8
0.1423,0.94879945119222,0.0,0.032,19.688,354.8
0.1474,0.9827423095703125,0.0,0.032,19.688,354.8
0.1525,1.016701062520345,0.0,0.032,19.688,354.8
0.1619,1.0795927047729492,0.0,0.032,19.688,354.8
0.1670,1.1134990056355794,0.0,0.032,19.688,354.8
0.1721,1.147483189900716,0.0,0.032,19.688,354.8
0.1773,1.1816787719726562,0.0,0.163,21.182,354.8
0.1868,1.2451950709025066,0.0,0.163,21.182,354.8
0.1919,1.2793366114298501,0.0,0.163,21.182,354.8
0.1970,1.3133509953816733,0.0,0.163,21.182,354.8
0.2021,1.3472700119018555,0.0,0.814,26.719,354.8
0.2128,1.4185587565104165,0.0,0.814,26.719,354.8
0.2179,1.4524666468302407,0.0,0.814,26.719,354.8
0.2230,1.4863665898640952,0.0,1.888,36.914,354.8
0.2308,1.5385198593139648,0.0,1.888,36.914,354.8
0.2359,1.5724372863769531,0.0,1.888,36.914,354.8
0.2409,1.6063054402669272,0.0,1.888,36.914,354.8
0.2460,1.640192667643229,0.0,2.75,49.307,354.8
0.2548,1.6985034942626953,0.0,2.75,49.307,354.8
0.2628,1.7519013086954751,0.0,2.75,49.307,354.8
0.2679,1.7857837677001953,0.0,2.314,53.613,354.8
0.2748,1.8318541844685874,0.0,2.314,53.613,354.8
0.2799,1.8657398223876953,0.0,2.314,53.613,354.8
0.2850,1.8997224171956382,0.0,2.314,53.613,354.8
0.2900,1.933608055114746,0.0,2.722,65.918,354.8
0.2988,1.9918632507324219,0.0,2.722,65.918,354.8
0.3039,2.025747299194336,0.0,2.722,65.918,354.8
0.3105,2.06971804300944,0.0,3.112,76.992,354.8
0.3198,2.1321932474772134,0.0,3.112,76.992,354.8
0.3249,2.166104316711426,0.0,3.112,76.992,354.8
0.3300,2.200007438659668,0.0,2.592,81.738,354.8
0.3398,2.265183130900065,0.0,2.592,81.738,354.8
0.3449,2.2990973790486655,0.0,2.592,81.738,354.8
0.3499,2.3329861958821616,0.0,2.592,81.738,354.8
0.3550,2.3668766021728516,0.0,2.831,94.307,354.8
0.3638,2.425203323364258,0.0,2.831,94.307,354.8
0.3689,2.4592018127441406,0.0,2.831,94.307,354.8
0.3746,2.4970420201619468,0.0,2.831,94.307,354.8
0.3796,2.5309864679972334,0.0,3.755,109.6,354.8
0.3858,2.5721804300944013,0.0,3.755,109.6,354.8
0.3909,2.606326738993327,0.0,3.755,109.6,354.8
0.3960,2.6403077443440752,0.0,3.755,109.6,354.8
0.4011,2.6742299397786455,0.0,3.823,123.75,354.8
0.4098,2.7320098876953125,0.0,3.823,123.75,354.8
0.4149,2.7659209569295244,0.0,3.823,123.75,354.8
0.4200,2.7997907002766924,0.0,3.99,137.285,354.8
0.4291,2.8609434763590498,0.0,3.99,137.285,354.8
0.4346,2.8970956802368164,0.0,3.99,137.285,354.8
0.4397,2.9310226440429688,0.0,3.99,137.285,354.8
0.4447,2.964908281962077,0.0,3.655,146.338,354.8
0.4508,3.0053774515787763,0.0,3.655,146.338,354.8
0.4559,3.0392662684122724,0.0,3.655,146.338,354.8
0.4610,3.073137601216634,0.0,3.655,146.338,354.8
0.4661,3.107035954793294,0.0,3.148,156.006,354.8
0.4748,3.165316581726074,0.0,3.148,156.006,354.8
0.4799,3.1992244720458984,0.0,3.148,156.006,354.8
0.4855,3.2365846633911133,0.0,3.148,156.006,354.8
0.4906,3.2705052693684893,0.0,2.606,162.949,354.8
0.4968,3.311998049418132,0.0,2.606,162.949,354.8
0.5019,3.3459027608235674,0.0,2.606,162.949,354.8
0.5085,3.3900388081868487,0.0,2.606,162.949,354.8
0.5137,3.4244267145792646,0.0,2.084,169.014,354.8
0.5209,3.472382227579753,0.0,2.084,169.014,354.8
0.5260,3.506515820821126,0.0,2.084,169.014,354.8
0.5311,3.5406414667765302,0.0,2.288,177.275,354.8
