t_s,cmd_speed_cm_s,cmd_steer_deg,enc_speed_cm_s,enc_cmd_speed_cm_s,yaw_deg
0.0000,5.0,-8.940696716308594e-06,-0.02,-1908.018,354.8
0.0745,5.0,-0.4653230309486389,-0.02,-1908.018,354.8
0.0795,5.0,-0.49710720777511597,0.828,-1901.162,354.8
0.0863,5.0,-0.5394980311393738,0.828,-1901.162,354.8
0.0916,5.0,-0.5724847316741943,0.828,-1901.162,354.8
0.0967,5.0,-0.6042793393135071,0.828,-1901.162,354.8
0.1018,5.0,-0.6360933184623718,2.229,-1887.891,354.8
0.1104,5.0,-0.6899312138557434,2.229,-1887.891,354.8
0.1163,5.0,-0.7271260023117065,2.229,-1887.891,354.8
0.1214,5.0,-0.7589533925056458,2.229,-1887.891,354.8
0.1265,5.0,-0.7907569408416748,2.746,-1877.871,354.8
0.1344,5.0,-0.8400559425354004,2.746,-1877.871,354.8
0.1398,5.0,-0.8738771080970764,2.746,-1877.871,354.8
0.1449,5.0,-0.9056717157363892,2.746,-1877.871,354.8
0.1500,5.0,-0.9374380111694336,2.052,-1874.092,354.8
0.1563,5.0,-0.9770229458808899,2.052,-1874.092,354.8
0.1614,5.0,-1.0087981820106506,2.052,-1874.092,354.8
0.1665,5.0,-1.0405570268630981,2.052,-1874.092,354.8
0.1721,5.0,-1.0756194591522217,1.853,-1868.643,354.8
0.1781,5.0,-1.11321359872818,1.853,-1868.643,354.8
0.1832,5.0,-1.144997775554657,1.853,-1868.643,354.8
0.1883,5.0,-1.1767536401748657,1.853,-1868.643,354.8
0.1934,5.0,-1.2085288763046265,2.259,-1858.008,354.8
0.2013,5.0,-1.2582212686538696,2.259,-1858.008,354.8
0.2079,5.0,-1.2992382049560547,2.259,-1858.008,354.8
0.2130,5.0,-1.33102685213089,2.609,-1849.395,354.8
0.2244,5.0,-1.4026850461959839,2.609,-1849.395,354.8
0.2295,5.0,-1.4344766736030579,2.609,-1849.395,354.8
0.2346,5.0,-1.4662757515907288,2.17,-1844.473,354.8
0.2404,5.0,-1.5026018023490906,2.17,-1844.473,354.8
0.2458,5.0,-1.5364870429039001,2.17,-1844.473,354.8
0.2509,5.0,-1.5682607889175415,2.17,-1844.473,354.8
0.2561,5.0,-1.6005277633666992,2.17,-1844.473,354.8
0.2612,5.0,-1.6323268413543701,1.912,-1838.057,354.8
0.2672,5.0,-1.6699835658073425,1.912,-1838.057,354.8
0.2744,5.0,-1.7150461673736572,1.912,-1838.057,354.8
0.2795,5.0,-1.7468541860580444,1.997,-1831.289,354.8
0.2873,5.0,-1.7958179116249084,1.997,-1831.289,354.8
0.2924,5.0,-1.8278002738952637,1.997,-1831.289,354.8
0.2975,5.0,-1.8596604466438293,1.702,-1827.51,354.8
0.3054,5.0,-1.9088834524154663,1.702,-1827.51,354.8
0.3123,5.0,-1.9521564245224,1.702,-1827.51,354.8
0.3174,5.0,-1.9839704036712646,1.702,-1827.51,354.8
0.3225,5.0,-2.0157381892204285,1.792,-1820.303,354.8
0.3294,5.0,-2.058851718902588,1.792,-1820.303,354.8
0.3348,5.0,-2.0926758646965027,1.792,-1820.303,354.8
0.3399,5.0,-2.124445140361786,2.259,-1811.514,354.8
0.3474,5.0,-2.1713286638259888,2.259,-1811.514,354.8
0.3528,5.0,-2.205173671245575,2.259,-1811.514,354.8
0.3579,5.0,-2.2369474172592163,2.259,-1811.514,354.8
0.3630,5.0,-2.2687092423439026,2.259,-1811.514,354.8
0.3681,5.0,-2.300480008125305,2.961,-1798.242,354.8
0.3741,5.0,-2.338038384914398,2.961,-1798.242,354.8
0.3804,5.0,-2.37748920917511,2.961,-1798.242,354.8
0.3855,5.0,-2.4092644453048706,3.226,-1786.729,354.8
0.3955,5.0,-2.4715885519981384,3.226,-1786.729,354.8
0.4005,5.0,-2.503393590450287,3.226,-1786.729,354.8
0.4071,5.0,-2.544426918029785,3.476,-1774.775,354.8
0.4134,5.0,-2.583913505077362,3.476,-1774.775,354.8
0.4188,5.0,-2.617780864238739,3.476,-1774.775,354.8
0.4239,5.0,-2.6495665311813354,3.476,-1774.775,354.8
0.4290,5.0,-2.68135666847229,4.001,-1758.867,354.8
0.4393,5.0,-2.745795249938965,4.001,-1758.867,354.8
0.4444,5.0,-2.777568995952606,4.001,-1758.867,354.8
0.4495,5.0,-2.8093472123146057,4.001,-1758.867,354.8
0.4546,5.0,-2.841086685657501,3.251,-1749.902,354.8
0.4614,5.0,-2.8838858008384705,3.251,-1749.902,354.8
0.4668,5.0,-2.917708456516266,3.251,-1749.902,354.8
0.4719,5.0,-2.949489653110504,3.251,-1749.902,354.8
0.4770,5.0,-2.981269359588623,3.251,-1749.902,354.8
0.4821,5.0,-3.013022243976593,2.807,-1741.201,354.8
0.4903,5.0,-3.064475953578949,2.807,-1741.201,354.8
0.4954,5.0,-3.0962496995925903,2.807,-1741.201,354.8
0.5005,5.0,-3.1280577182769775,2.233,-1736.104,354.8
0.5084,5.0,-3.177604079246521,2.233,-1736.104,354.8
0.5136,5.0,-3.2097846269607544,2.233,-1736.104,354.8
0.5188,5.0,-3.2422900199890137,2.233,-1736.104,354.8
0.5239,5.0,-3.274397552013397,1.72,-1731.621,354.8
0.5305,5.0,-3.315316140651703,1.72,-1731.621,354.8
0.5359,5.0,-3.3491939306259155,1.72,-1731.621,354.8
0.5424,5.0,-3.3900320529937744,1.72,-1731.621,354.8
0.5475,5.0,-3.4218207001686096,2.546,-1718.086,354.8
0.5563,5.0,-3.477071225643158,2.546,-1718.086,354.8
0.5614,5.0,-3.508879244327545,2.546,-1718.086,354.8
0.5665,5.0,-3.540624678134918,2.546,-1718.086,354.8
0.5716,5.0,-3.572414815425873,3.115,-1705.518,354.8
0.5803,5.0,-3.627064824104309,3.115,-1705.518,354.8
0.5854,5.0,-3.658860921859741,3.115,-1705.518,354.8
0.5905,5.0,-3.690624237060547,3.115,-1705.518,354.8
0.5956,5.0,-3.722400963306427,2.73,-1697.959,354.8
0.6044,5.0,-3.777356445789337,2.73,-1697.959,354.8
0.6109,5.0,-3.818361461162567,2.73,-1697.959,354.8
0.6160,5.0,-3.850238025188446,2.73,-1697.959,354.8
0.6211,5.0,-3.882014751434326,3.056,-1684.775,354.8
0.6273,5.0,-3.92090380191803,3.056,-1684.775,354.8
0.6324,5.0,-3.952696919441223,3.056,-1684.775,354.8
0.6375,5.0,-3.9844676852226257,3.056,-1684.775,354.8
0.6426,5.0,-4.016222059726715,3.476,-1670.889,354.8
0.6534,5.0,-4.083965718746185,3.476,-1670.889,354.8
0.6585,5.0,-4.115758836269379,3.476,-1670.889,354.8
0.6636,5.0,-4.147511720657349,3.476,-1670.889,354.8
0.6687,5.0,-4.179286956787109,3.559,-1657.617,354.8
0.6753,5.0,-4.220825433731079,3.559,-1657.617,354.8
0.6804,5.0,-4.252623021602631,3.559,-1657.617,354.8
0.6855,5.0,-4.284384846687317,3.281,-1649.268,354.8
0.6953,5.0,-4.345917701721191,3.281,-1649.268,354.8
0.7004,5.0,-4.377700388431549,3.281,-1649.268,354.8
0.7070,5.0,-4.418694972991943,3.281,-1649.268,354.8
0.7126,5.0,-4.453714191913605,2.636,-1641.973,354.8
0.7186,5.0,-4.491390287876129,2.636,-1641.973,354.8
0.7237,5.0,-4.523168504238129,2.636,-1641.973,354.8
0.7288,5.0,-4.55494225025177,2.796,-1632.217,354.8
0.7383,5.0,-4.614652693271637,2.796,-1632.217,354.8
0.7434,5.0,-4.64644730091095,2.796,-1632.217,354.8
0.7485,5.0,-4.67820018529892,2.796,-1632.217,354.8
0.7536,5.0,-4.709966480731964,2.783,-1621.406,354.8
0.7633,5.0,-4.770819842815399,2.783,-1621.406,354.8
0.7689,5.0,-4.8058003187179565,2.783,-1621.406,354.8
0.7740,5.0,-4.8375725746154785,2.783,-1621.406,354.8
0.7791,5.0,-4.869349300861359,2.907,-1612.441,354.8
0.7851,5.0,-4.906962811946869,2.907,-1612.441,354.8
0.7902,5.0,-4.938821494579315,2.907,-1612.441,354.8
0.7953,5.0,-4.970616102218628,2.907,-1612.441,354.8
0.8004,5.0,-5.002361536026001,3.202,-1599.346,354.8
0.8083,5.0,-5.052168667316437,3.202,-1599.346,354.8
0.8134,5.0,-5.083960294723511,3.202,-1599.346,354.8
0.8204,5.0,-5.12770414352417,2.806,-1593.193,354.8
0.8293,5.0,-5.183306336402893,2.806,-1593.193,354.8
0.8344,5.0,-5.215102434158325,2.806,-1593.193,354.8
0.8395,5.0,-5.246855318546295,2.806,-1593.193,354.8
0.8446,5.0,-5.27862161397934,2.701,-1581.592,354.8
0.8533,5.0,-5.333307385444641,2.701,-1581.592,354.8
0.8584,5.0,-5.3651005029678345,2.701,-1581.592,354.8
0.8635,5.0,-5.396860837936401,2.701,-1581.592,354.8
0.8686,5.0,-5.42864203453064,3.25,-1570.078,354.8
0.8764,5.0,-5.4776206612586975,3.25,-1570.078,354.8
0.8815,5.0,-5.509418249130249,3.25,-1570.078,354.8
0.8866,5.0,-5.541171133518219,2.399,-1567.793,354.8
0.8943,5.0,-5.58958500623703,2.399,-1567.793,354.8
0.8994,5.0,-5.621349811553955,2.399,-1567.793,354.8
0.9045,5.0,-5.653132498264313,2.399,-1567.793,354.8
0.9110,5.0,-5.693989992141724,1.603,-1563.486,354.8
0.9183,5.0,-5.7396069169044495,1.603,-1563.486,354.8
0.9234,5.0,-5.77138364315033,1.603,-1563.486,354.8
0.9294,5.0,-5.808733403682709,1.627,-1557.598,354.8
0.9393,5.0,-5.870811641216278,1.627,-1557.598,354.8
0.9444,5.0,-5.902601778507233,1.627,-1557.598,354.8
0.9495,5.0,-5.934357643127441,1.627,-1557.598,354.8
0.9546,5.0,-5.966131389141083,4.804,-1526.836,354.8
0.9633,5.0,-6.020832061767578,4.804,-1526.836,354.8
0.9684,5.0,-6.052650511264801,4.804,-1526.836,354.8
0.9735,5.0,-6.084395945072174,4.804,-1526.836,354.8
0.9786,5.0,-6.11615777015686,5.5,-1508.818,354.8
0.9863,5.0,-6.164611876010895,5.5,-1508.818,354.8
0.9914,5.0,-6.196385622024536,5.5,-1508.818,354.8
0.9965,5.0,-6.228165328502655,3.809,-1505.127,354.8
1.0043,5.0,-6.277073919773102,3.809,-1505.127,354.8
1.0109,5.0,-6.318315863609314,3.809,-1505.127,354.8
1.0161,5.0,-6.350409984588623,3.809,-1505.127,354.8
1.0212,5.0,-6.382390856742859,3.677,-1489.746,354.8
1.0283,5.0,-6.427080929279327,3.677,-1489.746,354.8
1.0334,5.0,-6.458863615989685,3.677,-1489.746,354.8
1.0390,5.0,-6.493912637233734,3.677,-1489.746,354.8
1.0441,5.0,-6.525665521621704,3.676,-1478.496,354.8
1.0503,5.0,-6.564533710479736,3.676,-1478.496,354.8
1.0554,5.0,-6.59632682800293,3.676,-1478.496,354.8
1.0605,5.0,-6.6280797123909,3.331,-1469.355,354.8
1.0703,5.0,-6.689624488353729,3.331,-1469.355,354.8
1.0754,5.0,-6.721396744251251,3.331,-1469.355,354.8
1.0805,5.0,-6.753186881542206,3.331,-1469.355,354.8
1.0856,5.0,-6.784945726394653,3.461,-1456.084,354.8
1.0963,5.0,-6.852148473262787,3.461,-1456.084,354.8
1.1014,5.0,-6.883925199508667,3.461,-1456.084,354.8
1.1080,5.0,-6.925086677074432,3.608,-1443.779,354.8
1.1143,5.0,-6.96464478969574,3.608,-1443.779,354.8
1.1194,5.0,-6.996443867683411,3.608,-1443.779,354.8
1.1245,5.0,-7.028265297412872,3.608,-1443.779,354.8
1.1296,5.0,-7.060042023658752,3.882,-1428.486,354.8
1.1385,5.0,-7.115723192691803,3.882,-1428.486,354.8
1.1436,5.0,-7.147519290447235,3.882,-1428.486,354.8
1.1495,5.0,-7.1840837597846985,4.068,-1415.479,354.8
1.1595,5.0,-7.246987521648407,4.068,-1415.479,354.8
1.1646,5.0,-7.278779149055481,4.068,-1415.479,354.8
1.1697,5.0,-7.310539484024048,4.068,-1415.479,354.8
1.1748,5.0,-7.342343032360077,3.996,-1400.713,354.8
1.1835,5.0,-7.397082448005676,3.996,-1400.713,354.8
1.1886,5.0,-7.428859174251556,3.996,-1400.713,354.8
1.1937,5.0,-7.460640370845795,3.996,-1400.713,354.8
1.1988,5.0,-7.492397725582123,3.476,-1392.715,354.8
1.2065,5.0,-7.5407713651657104,3.476,-1392.715,354.8
1.2133,5.0,-7.58301168680191,3.476,-1392.715,354.8
1.2184,5.0,-7.614780962467194,2.489,-1388.496,354.8
1.2245,5.0,-7.652862370014191,2.489,-1388.496,354.8
1.2295,5.0,-7.684645056724548,2.489,-1388.496,354.8
1.2346,5.0,-7.716403901576996,2.489,-1388.496,354.8
1.2397,5.0,-7.748173177242279,2.594,-1377.422,354.8
1.2483,5.0,-7.802098989486694,2.594,-1377.422,354.8
1.2534,5.0,-7.833877205848694,2.594,-1377.422,354.8
1.2590,5.0,-7.868826389312744,2.594,-1377.422,354.8
1.2641,5.0,-7.90061354637146,3.267,-1364.414,354.8
1.2703,5.0,-7.939545810222626,3.267,-1364.414,354.8
1.2754,5.0,-7.971331477165222,3.267,-1364.414,354.8
1.2805,5.0,-8.003087341785431,3.267,-1354.395,354.8
