t_s,cmd_speed_cm_s,cmd_steer_deg,enc_speed_cm_s,enc_cmd_speed_cm_s,yaw_deg
0.0000,-6.357828776041666e-06,0.0,-0.003,38392.734,359.7
0.0673,-0.4488658905029297,0.0,-0.003,38392.734,359.7
0.0724,-0.48271656036376953,0.0,-0.003,38392.734,359.7
0.0775,-0.5165561040242513,0.0,-0.003,38392.734,359.7
0.0826,-0.5503702163696289,0.0,-0.003,38392.734,359.7
0.0883,-0.5889987945556641,0.0,-0.003,38392.734,359.7
0.0934,-0.6228160858154297,0.0,-0.003,38392.734,359.7
0.0985,-0.6566699345906575,0.0,-0.003,38392.734,359.7
0.1036,-0.6904999415079753,0.0,-0.003,38392.734,359.7
0.1124,-0.7496134440104167,0.0,-0.003,38392.734,359.7
0.1183,-0.7887411117553711,0.0,-0.003,38392.734,359.7
0.1234,-0.8226346969604492,0.0,-0.003,38392.734,359.7
0.1324,-0.8826605478922527,0.0,-0.003,38392.734,359.7
0.1375,-0.9165366490681965,0.0,-0.003,38392.734,359.7
0.1426,-0.9503889083862305,0.0,-0.003,38392.734,359.7
0.1476,-0.9842300415039062,0.0,-0.003,38392.648,359.7
0.1564,-1.0425297419230144,0.0,-0.003,38392.648,359.7
0.1615,-1.0764153798421223,0.0,-0.003,38392.648,359.7
0.1665,-1.1102724075317383,0.0,-0.003,38392.648,359.7
0.1721,-1.1475515365600586,0.0,-0.003,38392.207,359.7
0.1781,-1.1875549952189128,0.0,-0.003,38392.207,359.7
0.1832,-1.2214295069376628,0.0,-0.003,38392.207,359.7
0.1883,-1.255370775858561,0.0,-0.003,38392.207,359.7
0.1934,-1.289240519205729,0.0,-0.731,38386.582,359.7
0.2004,-1.3359785079956055,0.0,-0.731,38386.582,359.7
0.2073,-1.3818979263305664,0.0,-0.731,38386.582,359.7
0.2124,-1.4159011840820312,0.0,-0.731,38386.582,359.7
0.2175,-1.4497852325439453,0.0,-2.928,38369.531,359.7
0.2273,-1.5153058369954429,0.0,-2.928,38369.531,359.7
0.2324,-1.549199422200521,0.0,-2.928,38369.531,359.7
0.2375,-1.5830453236897788,0.0,-4.051,38355.293,359.7
0.2444,-1.6291729609171548,0.0,-4.051,38355.293,359.7
0.2495,-1.663050651550293,0.0,-4.051,38355.293,359.7
0.2545,-1.696899731953939,0.0,-4.051,38355.293,359.7
0.2596,-1.7307456334431968,0.0,-4.634,38337.715,359.7
0.2683,-1.7889420191446939,0.0,-4.634,38337.715,359.7
0.2734,-1.822821299235026,0.0,-4.634,38337.715,359.7
0.2790,-1.8600908915201821,0.0,-4.634,38337.715,359.7
0.2841,-1.8939542770385742,0.0,-4.512,38325.672,359.7
0.2901,-1.9341293970743814,0.0,-4.512,38325.672,359.7
0.2952,-1.9679911931355796,0.0,-4.512,38325.672,359.7
0.3003,-2.001825968424479,0.0,-4.802,38310.383,359.7
0.3095,-2.0635716120402017,0.0,-4.802,38310.383,359.7
0.3146,-2.09744930267334,0.0,-4.802,38310.383,359.7
0.3197,-2.1313047409057617,0.0,-4.802,38310.383,359.7
0.3248,-2.1651458740234375,0.0,-4.881,38296.406,359.7
0.3308,-2.2054052352905273,0.0,-4.881,38296.406,359.7
0.3364,-2.242987950642904,0.0,-4.881,38296.406,359.7
0.3415,-2.2768799463907876,0.0,-4.881,38296.406,359.7
0.3466,-2.310736974080404,0.0,-5.141,38279.707,359.7
0.3527,-2.351226806640625,0.0,-5.141,38279.707,359.7
0.3578,-2.385109265645345,0.0,-5.141,38279.707,359.7
0.3628,-2.418959935506185,0.0,-5.141,38279.707,359.7
0.3679,-2.4528090159098306,0.0,-5.141,38263.273,359.7
0.3753,-2.5017817815144854,0.0,-5.141,38263.273,359.7
0.3803,-2.5356531143188477,0.0,-5.141,38263.273,359.7
0.3873,-2.581777572631836,0.0,-4.719,38251.672,359.7
0.3953,-2.635173797607422,0.0,-4.719,38251.672,359.7
0.4004,-2.669049898783366,0.0,-4.719,38251.672,359.7
0.4071,-2.7141205469767256,0.0,-4.719,38251.672,359.7
0.4122,-2.7479934692382812,0.0,-3.628,38243.055,359.7
0.4192,-2.7949873606363935,0.0,-3.628,38243.055,359.7
0.4243,-2.8288761774698896,0.0,-3.628,38243.055,359.7
0.4294,-2.8627697626749677,0.0,-3.628,38243.055,359.7
0.4345,-2.896626790364583,0.0,-3.604,38231.719,359.7
0.4406,-2.9371484120686846,0.0,-3.604,38231.719,359.7
0.4462,-2.974456151326497,0.0,-3.604,38231.719,359.7
0.4512,-3.008325894673665,0.0,-3.604,38231.719,359.7
0.4563,-3.042167027791341,0.0,-3.221,38223.898,359.7
