Duty Cycle,Arc Diameter (mm),Steer Angle
0.07200,5900,5.0
0.07300,7988,3.7
0.07400,9280,3.2
0.07100,4487,6.6
0.07000,3862,7.7
0.06900,3333,8.9
0.06800,3028,9.7
0.06700,2726,10.8
0.06600,2513,11.7
0.06500,2348,12.5
0.06400,2189,13.4
0.06300,2047,14.3
0.06200,1932,15.1
0.06100,1829,15.9
0.06000,1726,16.8
0.05900,1646,17.5
0.05700,1524,18.8
0.05600,1446,19.8
0.05400,1359,20.9
0.05300,1306,21.7
0.05200,1272,22.2
0.05100,1235,22.8
0.05000,1206,23.3
0.04900,1191,23.6
0.04800,1184,23.7
0.04600,1167,24.0
0.04500,1147,24.4
0.04000,1114,25.0
0.04350,1136,24.6
0.04200,1126,24.8
0.03900,1111,25.1
0.03800,1102,25.3
0.07672070, 10300, 0.0
