Duty Cycle,Arc Diameter (mm),Steer Angle
0.0835,-4325,-6.9
0.0850,-4018,-7.4
0.0865,-3313,-8.9
0.0880,-2943,-10.0
0.0895,-2621,-11.2
0.0910,-2399,-12.2
0.0920,-2244,-13.0
0.0930,-2124,-13.8
0.0950,-1937,-15.0
0.0960,-1866,-15.6
0.0970,-1788,-16.2
0.0980,-1757,-16.5
0.0990,-1676,-17.2
0.1000,-1606,-17.9
0.1025,-1507,-19.0
0.1050,-1438,-19.9
0.1075,-1384,-20.6
0.1100,-1373,-20.7
0.1150,-1341,-21.2
0.1200,-1329,-21.4
0.1250,-1320,-21.5
0.0825,-4655,-6.4
0.0815,-5490,-5.4
0.0805,-7154,-4.2
0.07672070, -10300, 0.0
