image,charuco_id,observed_u,observed_v,projected_u,projected_v,error_px
images/frame_000.png,8,770.091125,970.060242,769.613281,969.839539,0.526351
images/frame_000.png,11,965.554382,969.335632,966.119019,969.426086,0.571836
images/frame_000.png,14,691.685608,992.857117,691.437683,992.295227,0.614155
images/frame_000.png,15,759.006287,991.956421,759.981140,992.170654,0.998116
images/frame_000.png,18,966.110596,991.986206,966.338013,991.795654,0.296696
images/frame_000.png,19,1035.635864,991.735107,1035.366821,991.670166,0.276770
images/frame_000.png,20,1103.898315,991.032166,1104.517822,991.544495,0.803909
images/frame_000.png,23,821.011780,1016.533142,821.613831,1016.750305,0.640019
images/frame_000.png,24,894.269409,1016.543762,894.029663,1016.641663,0.258965
images/frame_000.png,25,966.776245,1016.387451,966.580200,1016.532776,0.244035
images/frame_000.png,26,1039.391846,1016.722290,1039.265747,1016.423706,0.324119
images/frame_000.png,27,1112.261108,1016.201172,1112.086670,1016.314453,0.207994
images/frame_000.png,30,814.106750,1044.069336,813.797974,1044.210327,0.339443
images/frame_000.png,31,890.539368,1044.382202,890.248596,1044.122437,0.389905
images/frame_000.png,32,966.926086,1043.723022,966.849426,1044.034546,0.320817
images/frame_000.png,33,1043.866943,1043.878540,1043.600708,1043.946411,0.274750
images/frame_000.png,34,1120.681030,1044.112305,1120.503174,1043.858032,0.310302
images/frame_001.png,2,841.043945,949.682678,840.784973,949.395691,0.386560
images/frame_001.png,3,903.380188,949.056091,903.302368,949.247864,0.206960
images/frame_001.png,8,770.117432,970.069763,769.613281,969.839539,0.554230
images/frame_001.png,11,966.015747,969.255249,966.119019,969.426086,0.199626
images/frame_001.png,12,1031.877075,969.192383,1031.841431,969.287842,0.101897
images/frame_001.png,13,1097.605103,969.655029,1097.674561,969.149353,0.510424
images/frame_001.png,14,691.748535,992.864441,691.437683,992.295227,0.648563
images/frame_001.png,15,759.241455,992.034424,759.981140,992.170654,0.752125
images/frame_001.png,19,1035.466919,991.824829,1035.366821,991.670166,0.184229
images/frame_001.png,20,1104.188965,991.017456,1104.517822,991.544495,0.621222
images/frame_001.png,23,820.970642,1016.499695,821.613831,1016.750305,0.690288
images/frame_001.png,26,1039.256958,1016.542603,1039.265747,1016.423706,0.119221
images/frame_001.png,27,1112.238770,1016.243958,1112.086670,1016.314453,0.167642
images/frame_001.png,30,814.146545,1044.006470,813.797974,1044.210327,0.403807
images/frame_001.png,31,890.639221,1044.481812,890.248596,1044.122437,0.530790
images/frame_001.png,32,966.984192,1043.793091,966.849426,1044.034546,0.276518
images/frame_001.png,33,1043.753906,1043.928833,1043.600708,1043.946411,0.154203
images/frame_001.png,34,1120.156128,1044.170288,1120.503174,1043.858032,0.466845
images/frame_004.png,11,965.182739,969.249451,966.119019,969.426086,0.952795
images/frame_004.png,12,1031.733765,969.059082,1031.841431,969.287842,0.252830
images/frame_004.png,13,1097.664673,969.472656,1097.674561,969.149353,0.323454
images/frame_004.png,19,1035.458618,991.714111,1035.366821,991.670166,0.101774
images/frame_004.png,20,1104.219482,991.075500,1104.517822,991.544495,0.555844
images/frame_004.png,23,821.163757,1016.587708,821.613831,1016.750305,0.478544
images/frame_004.png,26,1040.359863,1016.308472,1039.265747,1016.423706,1.100168
images/frame_004.png,27,1112.112671,1016.259521,1112.086670,1016.314453,0.060774
images/frame_004.png,30,814.095398,1044.175415,813.797974,1044.210327,0.299466
images/frame_004.png,31,890.723267,1044.353027,890.248596,1044.122437,0.527716
images/frame_004.png,32,966.934998,1043.773071,966.849426,1044.034546,0.275121
images/frame_004.png,33,1043.871338,1043.951538,1043.600708,1043.946411,0.270678
images/frame_004.png,34,1120.203491,1044.181274,1120.503174,1043.858032,0.440789
images/frame_005.png,2,841.169922,949.553223,840.784973,949.395691,0.415935
images/frame_005.png,3,903.462585,949.173523,903.302368,949.247864,0.176624
images/frame_005.png,8,770.082458,970.149414,769.613281,969.839539,0.562272
images/frame_005.png,11,965.729248,969.220459,966.119019,969.426086,0.440685
images/frame_005.png,14,691.794067,992.797668,691.437683,992.295227,0.616001
images/frame_005.png,18,966.187744,991.948120,966.338013,991.795654,0.214071
images/frame_005.png,19,1035.454834,991.811584,1035.366821,991.670166,0.166570
images/frame_005.png,20,1104.593262,991.053223,1104.517822,991.544495,0.497030
images/frame_005.png,24,894.580078,1016.543762,894.029663,1016.641663,0.559054
images/frame_005.png,25,966.249573,1016.517151,966.580200,1016.532776,0.330996
images/frame_005.png,26,1038.992310,1016.640747,1039.265747,1016.423706,0.349106
images/frame_005.png,27,1112.313354,1016.232056,1112.086670,1016.314453,0.241195
images/frame_005.png,30,814.065552,1044.130371,813.797974,1044.210327,0.279269
images/frame_005.png,31,890.119873,1044.335083,890.248596,1044.122437,0.248572
images/frame_005.png,32,966.895630,1043.822754,966.849426,1044.034546,0.216773
images/frame_005.png,33,1043.789795,1043.883301,1043.600708,1043.946411,0.199341
images/frame_005.png,34,1120.255371,1044.168457,1120.503174,1043.858032,0.397202
images/frame_006.png,8,770.113770,970.060913,769.613281,969.839539,0.547262
images/frame_006.png,11,965.651245,969.297791,966.119019,969.426086,0.485048
images/frame_006.png,14,691.703613,992.763306,691.437683,992.295227,0.538346
images/frame_006.png,18,966.166321,991.916931,966.338013,991.795654,0.210205
images/frame_006.png,19,1035.610107,991.679688,1035.366821,991.670166,0.243472
images/frame_006.png,20,1103.892212,991.080994,1104.517822,991.544495,0.778602
images/frame_006.png,21,676.017273,1016.169373,677.184753,1016.967041,1.413961
images/frame_006.png,24,894.227356,1016.636353,894.029663,1016.641663,0.197764
