measured_lateral,measured_longitudinal,estimated_lateral,estimated_longitudinal
-0.72,1.6,-0.722,1.625
-0.67,1.6,-0.662,1.609
-0.62,1.6,-0.62,1.62
-0.57,1.6,-0.573,1.62
-0.52,1.6,-0.521,1.634
-0.47,1.6,-0.472,1.627
-0.42,1.6,-0.421,1.637
-0.37,1.6,-0.368,1.63
-0.32,1.6,-0.316,1.645
-0.27,1.6,-0.264,1.65
-0.22,1.6,-0.214,1.64
-0.17,1.6,-0.16,1.633
-0.1,1.6,-0.088,1.647
-0.05,1.6,-0.038,1.643
0,1.6,0,1.65
0.05,1.6,0.064,1.645
0.1,1.6,0.114,1.655
0.15,1.6,0.163,1.645
0.2,1.6,0.214,1.65
0.25,1.6,0.265,1.653
0.3,1.6,0.317,1.644
0.35,1.6,0.369,1.654
0.4,1.6,0.418,1.641
0.45,1.6,0.47,1.643
0.5,1.6,0.523,1.655
0.55,1.6,0.57,1.635
0.6,1.6,0.622,1.634
0.65,1.6,0.67,1.63
0.7,1.6,0.722,1.63
-0.65,1.2,-0.643,1.21
-0.6,1.2,-0.597,1.213
-0.55,1.2,-0.542,1.213
-0.5,1.2,-0.492,1.211
-0.45,1.2,-0.44,1.21
-0.4,1.2,-0.387,1.213
-0.35,1.2,-0.337,1.213
-0.3,1.2,-0.283,1.211
-0.25,1.2,-0.234,1.216
-0.2,1.2,-0.185,1.214
-0.15,1.2,-0.135,1.215
-0.1,1.2,-0.086,1.22
-0.05,1.2,-0.034,1.217
0,1.2,0.007,1.22
0.05,1.2,0.059,1.22
0.1,1.2,0.107,1.222
0.15,1.2,0.157,1.22
0.2,1.2,0.208,1.221
0.25,1.2,0.26,1.227
0.3,1.2,0.311,1.23
0.35,1.2,0.36,1.23
0.4,1.2,0.414,1.235
0.45,1.2,0.465,1.24
0.5,1.2,0.52,1.241
0.55,1.2,0.568,1.24
0.6,1.2,0.621,1.25
0.65,1.2,0.666,1.244
-0.4,0.8,-0.397,0.809
-0.35,0.8,-0.343,0.805
-0.3,0.8,-0.292,0.808
-0.25,0.8,-0.242,0.812
-0.2,0.8,-0.191,0.814
-0.15,0.8,-0.14,0.815
-0.1,0.8,-0.091,0.82
-0.05,0.8,-0.042,0.822
0,0.8,0.009,0.817
0.05,0.8,0.058,0.822
0.1,0.8,0.108,0.823
0.15,0.8,0.158,0.823
0.2,0.8,0.21,0.825
0.25,0.8,0.261,0.824
0.3,0.8,0.307,0.825
0.35,0.8,0.36,0.825
0.4,0.8,0.41,0.823
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
