estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal,measured in ft,test1: stopsign longitudinal left
-32,58.5,-35,55,,
-31.8,64,-35,60,,
-31.5,74.3,-35,70,,
-30.1,84.3,-35,80,,
-30.5,94.8,-35,90,,
-30,105.6,-35,100,,
-29.7,117,-35,110,,
-29.1,128.5,-35,120,,
-30.8,140,-35,130,,
,,35,55,,
,,35,60,,
39.3,72.3,35,70,,
40.1,82.6,35,80,,
41.7,93.5,35,90,,
41.4,104,35,100,,
42.7,115,35,110,,
43.6,128,35,120,,
44.3,138.9,35,130,,
2.9,57.2,0,55,,
3,62.5,0,60,,
3.6,72.5,0,70,,
4.1,83.2,0,80,,
4.7,93.5,0,90,,
5.4,104.8,0,100,,
6,116,0,110,,
6.6,126.3,0,120,,
7.2,137,0,130,,
7.8,148,0,140,,
-29.5,140,-35,140,,
45.1,150,35,140,,
,,,,,
,,,,,
,,0.381,2.4384,,
,,0.3048,2.4384,,
,,0.22860000000000003,2.4384,,
,,0.1524,2.4384,,
,,0.0762,2.4384,,
,,0.0,2.4384,,
,,-0.0762,2.4384,,
,,-0.1524,2.4384,,
,,-0.22860000000000003,2.4384,,
,,-0.3048,2.4384,,
,,-0.381,2.4384,,
,,-0.45720000000000005,2.4384,,
,,-0.5334,2.4384,,
,,-0.6096,2.4384,,
,,-0.6858000000000001,2.4384,,
,,-0.762,2.4384,,
,,-0.8382000000000001,2.4384,,
,,-0.9144000000000001,2.4384,,
,,0.9144000000000001,2.1336,,
,,0.8382000000000001,2.1336,,
0.836,2.250,0.762,2.1336,,
0.735,2.2,0.6858000000000001,2.1336,,
0.662,2.205,0.6096,2.1336,,
0.581,2.190,0.5334,2.1336,,
0.505,2.196,0.45720000000000005,2.1336,,
0.434,2.23,0.381,2.1336,,
0.338,2.24,0.3048,2.1336,,
0.25,2.166,0.22860000000000003,2.1336,,
0.173,2.174,0.1524,2.1336,,
0.1,2.187,0.0762,2.1336,,
0.02,2.190,0.0,2.1336,,
-0.056,2.204,-0.0762,2.1336,,
-0.13,2.21,-0.1524,2.1336,,
-0.222,2.29,-0.22860000000000003,2.1336,,
,,-0.3048,2.1336,,
,,-0.381,2.1336,,
,,-0.45720000000000005,2.1336,,
,,-0.5334,2.1336,,
,,-0.6096,2.1336,,
,,-0.6858000000000001,2.1336,,
,,-0.762,2.1336,,
,,-0.8382000000000001,2.1336,,
,,-0.9144000000000001,2.1336,,
,1.856,0.9144000000000001,1.8288000000000002,,
0.867,1.845,0.8382000000000001,1.8288000000000002,,
0.800,1.86,0.762,1.8288000000000002,,
0.717,1.866,0.6858000000000001,1.8288000000000002,,
0.636,1.845,0.6096,1.8288000000000002,,
0.56,1.868,0.5334,1.8288000000000002,,
0.478,1.859,0.45720000000000005,1.8288000000000002,,
0.405,1.85,0.381,1.8288000000000002,,
0.332,1.864,0.3048,1.8288000000000002,,
0.248,1.86,0.22860000000000003,1.8288000000000002,,
0.175,1.87,0.1524,1.8288000000000002,,
0.1,1.84,0.0762,1.8288000000000002,,
0.025,1.865,0.0,1.8288000000000002,,
-0.053,1.86,-0.0762,1.8288000000000002,,
-0.131,1.86,-0.1524,1.8288000000000002,,
-0.206,1.857,-0.22860000000000003,1.8288000000000002,,
-0.28,1.86,-0.3048,1.8288000000000002,,
-0.353,1.855,-0.381,1.8288000000000002,,
-0.444,1.85,-0.45720000000000005,1.8288000000000002,,
-0.527,1.85,-0.5334,1.8288000000000002,,
-0.594,1.86,-0.6096,1.8288000000000002,,
-0.682,1.86,-0.6858000000000001,1.8288000000000002,,
-0.763,1.864,-0.762,1.8288000000000002,,
-0.837,1.86,-0.8382000000000001,1.8288000000000002,,
-0.912,1.878,-0.9144000000000001,1.8288000000000002,,
,,0.9144000000000001,1.524,,
,,0.8382000000000001,1.524,,
0.789,1.537,0.762,1.524,,
0.707,1.53,0.6858000000000001,1.524,,
0.63,1.537,0.6096,1.524,,
0.555,1.537,0.5334,1.524,,
0.477,1.525,0.45720000000000005,1.524,,
0.401,1.53,0.381,1.524,,
0.321,1.523,0.3048,1.524,,
0.248,1.53,0.22860000000000003,1.524,,
0.173,1.527,0.1524,1.524,,
0.103,1.542,0.0762,1.524,,
0.019,1.55,0.0,1.524,,
-0.054,1.555,-0.0762,1.524,,
-0.131,1.551,-0.1524,1.524,,
-0.205,1.550,-0.22860000000000003,1.524,,
-0.288,1.565,-0.3048,1.524,,
-0.357,1.551,-0.381,1.524,,
-0.431,1.537,-0.45720000000000005,1.524,,
-0.517,1.558,-0.5334,1.524,,
-0.598,1.557,-0.6096,1.524,,
-0.684,1.56,-0.6858000000000001,1.524,,
-0.765,1.563,-0.762,1.524,,
-0.842,1.56,-0.8382000000000001,1.524,,
,,-0.9144000000000001,1.524,,
,,0.9144000000000001,1.2192,,
,,0.8382000000000001,1.2192,,
,,0.762,1.2192,,
,,0.6858000000000001,1.2192,,
,,0.6096,1.2192,,
,,0.5334,1.2192,,
,,0.45720000000000005,1.2192,,
,,0.381,1.2192,,
,,0.3048,1.2192,,
,,0.22860000000000003,1.2192,,
,,0.1524,1.2192,,
,,0.0762,1.2192,,
,,0.0,1.2192,,
,,-0.0762,1.2192,,
,,-0.1524,1.2192,,
,,-0.22860000000000003,1.2192,,
,,-0.3048,1.2192,,
,,-0.381,1.2192,,
,,-0.45720000000000005,1.2192,,
,,-0.5334,1.2192,,
,,-0.6096,1.2192,,
,,-0.6858000000000001,1.2192,,
,,-0.762,1.2192,,
,,-0.8382000000000001,1.2192,,
,,-0.9144000000000001,1.2192,,
,,0.9144000000000001,0.9144000000000001,,
,,0.8382000000000001,0.9144000000000001,,
,,0.762,0.9144000000000001,,
,,0.6858000000000001,0.9144000000000001,,
,,0.6096,0.9144000000000001,,
,,0.5334,0.9144000000000001,,
,,0.45720000000000005,0.9144000000000001,,
,,0.381,0.9144000000000001,,
,,0.3048,0.9144000000000001,,
,,0.22860000000000003,0.9144000000000001,,
,,0.1524,0.9144000000000001,,
,,0.0762,0.9144000000000001,,
,,0.0,0.9144000000000001,,
,,-0.0762,0.9144000000000001,,
,,-0.1524,0.9144000000000001,,
,,-0.22860000000000003,0.9144000000000001,,
,,-0.3048,0.9144000000000001,,
,,-0.381,0.9144000000000001,,
,,-0.45720000000000005,0.9144000000000001,,
,,-0.5334,0.9144000000000001,,
,,-0.6096,0.9144000000000001,,
,,-0.6858000000000001,0.9144000000000001,,
,,-0.762,0.9144000000000001,,
,,-0.8382000000000001,0.9144000000000001,,
,,-0.9144000000000001,0.9144000000000001,,
,,0.9144000000000001,0.6096,,
,,0.8382000000000001,0.6096,,
,,0.762,0.6096,,
,,0.6858000000000001,0.6096,,
,,0.6096,0.6096,,
,,0.5334,0.6096,,
,,0.45720000000000005,0.6096,,
,,0.381,0.6096,,
,,0.3048,0.6096,,
,,0.22860000000000003,0.6096,,
,,0.1524,0.6096,,
,,0.0762,0.6096,,
,,0.0,0.6096,,
,,-0.0762,0.6096,,
,,-0.1524,0.6096,,
,,-0.22860000000000003,0.6096,,
,,-0.3048,0.6096,,
,,-0.381,0.6096,,
,,-0.45720000000000005,0.6096,,
,,-0.5334,0.6096,,
