estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal,measured in ft,test1: stopsign longitudinal left
-11.5,58,-15,55,,
-12,62.7,-15,60,,
-10.9,72.7,-15,70,,
-10.2,83.4,-15,80,,
-10.3,93.8,-15,90,,
-9.1,105.4,-15,100,,
-9.3,116,-15,110,,
-8.4,126.9,-15,120,,
-7.5,137.5,-15,130,,
-7.5,148,-15,140,,
-7,147.2,-15,150,,
-48.1,96,-50.3,90,,
-47.5,106.5,-50.3,100,,
-48,118.6,-50.2,110,,
-46.9,129,-50,120,,
-46.7,140,-50,130,,
-46.4,151,-50,140,,
-45.2,164,-50,150,,
-45,174,-50,160,,
-33.7,63.3,-35,60,,
-33,73.5,-35,70,,
-32.7,84,-35,80,,
-32.2,94.5,-35,90,,
-31.5,105.5,-35,100,,
-31,117,-35,110,,
-31,128,-35,120,,
-30.4,139,-35,130,,
-30,150,-35,140,,
-29.5,161,-35,150,,
-29.2,173,-35,160,,
-68.6,130,-70,120,,
-57.3,128,-60,120,,
-47,129,-50,120,,
-36.5,129,-40,120,,
-25.5,127,-30,120,,
-14.6,128,-20,120,,
-4.4,128,-10,120,,
6,127,0,120,,
17.2,128,10,120,,
27.6,126.5,20,120,,
38,127,30,120,,
