estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal
0.2,0.31,0.222,0.3
-0.205,0.335,-0.2,0.335
-0.205,0.385,-0.21,0.385
0.2,0.41,0.222,0.4
-0.205,0.435,-0.22,0.41
-0.205,0.485,-0.22,0.46
0.204,0.51,0.222,0.5
-0.205,0.535,-0.22,0.51
-0.205,0.585,-0.22,0.56
0.206,0.6,0.222,0.6
-0.205,0.635,-0.22,0.61
-0.205,0.685,-0.22,0.66
0.208,0.7,0.222,0.7
-0.205,0.735,-0.23,0.71
-0.205,0.785,-0.23,0.76
0.21,0.8,0.222,0.8
-0.205,0.835,-0.23,0.81
-0.205,0.885,-0.23,0.86
0.21,0.9,0.222,0.9
-0.205,0.935,-0.21,0.91
-0.205,0.985,-0.22,0.95
0.21,1,0.222,1
-0.205,1.035,-0.22,0.99
-0.205,1.085,-0.21,1.04
0.21,1.09,0.222,1.1
-0.205,1.135,-0.21,1.09
0.207,1.18,0.222,1.2
-0.205,1.185,-0.21,1.13
-0.205,1.235,-0.21,1.2
-0.205,1.285,-0.21,1.24
0.206,1.29,0.222,1.3
-0.205,1.335,-0.22,1.3
-0.205,1.385,-0.22,1.35
0.224,1.4,0.222,1.4
