estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal
-0.443,1.14,-0.435,1.21
-0.343,1.14,-0.33,1.21
-0.393,1.145,-0.38,1.21
-0.143,1.147,-0.133,1.21
-0.493,1.15,-0.49,1.21
-0.293,1.15,-0.286,1.21
-0.093,1.157,-0.082,1.21
-0.243,1.158,-0.24,1.21
-0.193,1.16,-0.188,1.21
-0.043,1.16,-0.03,1.21
0.357,1.16,0.37,1.21
0.407,1.16,0.42,1.21
0.457,1.16,0.466,1.21
0.007,1.167,0.015,1.21
0.057,1.168,0.066,1.21
0.257,1.168,0.28,1.21
0.107,1.17,0.112,1.21
0.157,1.17,0.17,1.21
0.207,1.17,0.217,1.21
0.307,1.17,0.316,1.21
