estimated,measured,vehicle_x,pixel
0.06506,0.43,3.95685,15
0.08674,0.44,3.94685,20
0.09758,0.45,3.93685,22.5
0.1084,0.46,3.92685,25
0.1193,0.47,3.91685,27.5
0.141,0.48,3.90685,32.5
0.1518,0.49,3.89685,35
0.1626,0.5,3.88685,37.5
0.1843,0.51,3.87685,42.5
0.2169,0.54,3.84685,50
0.2711,0.57,3.81685,62.5
0.3144,0.6,3.78685,72.5
0.347,0.63,3.75685,80
0.3903,0.66,3.72685,90
0.4337,0.69,3.69685,100
0.4771,0.72,3.66685,110
0.5096,0.75,3.63685,117.5
0.5855,0.8,3.58685,135
0.6614,0.85,3.53685,152.5
0.7373,0.9,3.48685,170
0.7915,0.95,3.43685,185.5
0.8566,1,3.38685,197.5
1.008,1.1,3.28685,232.5
1.128,1.2,3.18685,260
1.258,1.3,3.08685,290
1.42,1.4,2.98685,327.5
1.551,1.5,2.88685,357.5
1.702,1.6,2.78685,392.5
1.822,1.7,2.68685,420
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1.952,1.8,2.58685,450
