measured from sign to REALSENSE,,,,,
test1: stopsign longitudinal left,,estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal
,,0.222,0.3,0.2,0.31
,,-0.2,0.335,-0.205,0.335
,,-0.21,0.385,-0.205,0.385
,,0.222,0.4,0.2,0.41
,,-0.22,0.41,-0.205,0.435
,,-0.22,0.46,-0.205,0.485
,,0.222,0.5,0.204,0.51
,,-0.22,0.51,-0.205,0.535
,,-0.22,0.56,-0.205,0.585
,,0.222,0.6,0.206,0.6
,,-0.22,0.61,-0.205,0.635
,,-0.22,0.66,-0.205,0.685
,,0.222,0.7,0.208,0.7
,,-0.23,0.71,-0.205,0.735
,,-0.23,0.76,-0.205,0.785
,,0.222,0.8,0.21,0.8
,,-0.23,0.81,-0.205,0.835
,,-0.23,0.86,-0.205,0.885
,,0.222,0.9,0.21,0.9
,,-0.21,0.91,-0.205,0.935
,,-0.22,0.95,-0.205,0.985
,,0.222,1,0.21,1
,,-0.22,0.99,-0.205,1.035
,,-0.21,1.04,-0.205,1.085
,,0.222,1.1,0.21,1.09
,,-0.21,1.09,-0.205,1.135
,,-0.443,1.21,-0.435,1.14
,,-0.343,1.21,-0.33,1.14
test2: stopsign longitudinal right,,-0.393,1.21,-0.38,1.145
,,-0.143,1.21,-0.133,1.147
,,-0.493,1.21,-0.49,1.15
,,-0.293,1.21,-0.286,1.15
,,-0.093,1.21,-0.082,1.157
,,-0.243,1.21,-0.24,1.158
,,-0.193,1.21,-0.188,1.16
,,-0.043,1.21,-0.03,1.16
,,0.357,1.21,0.37,1.16
,,0.407,1.21,0.42,1.16
,,0.457,1.21,0.466,1.16
,,0.007,1.21,0.015,1.167
,,0.057,1.21,0.066,1.168
,,0.257,1.21,0.28,1.168
,,0.107,1.21,0.112,1.17
,,0.157,1.21,0.17,1.17
,,0.207,1.21,0.217,1.17
,,0.307,1.21,0.316,1.17
,,0.222,1.2,0.207,1.18
,,-0.21,1.13,-0.205,1.185
,,-0.21,1.2,-0.205,1.235
,,-0.21,1.24,-0.205,1.285
,,0.222,1.3,0.206,1.29
,,-0.22,1.3,-0.205,1.335
,,-0.22,1.35,-0.205,1.385
,,0.222,1.4,0.224,1.4
,,,,,
,,,,,
test3: prio longitudinal right,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
test4: prio lateral,,,,,
